time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
525.0,115732.0,0.0,115776.0,0.0
526.0,115763.0,0.0,115807.0,0.0
527.0,115782.0,0.0,115834.0,0.0
528.0,115808.0,0.0,115867.0,0.0
529.0,115837.0,0.0,115889.0,0.0
530.0,115877.0,0.0,115919.0,0.0
531.0,115907.0,0.0,115944.0,0.0
532.0,115942.0,0.0,115978.0,0.0
533.0,115982.0,0.0,116012.0,0.0
534.0,116019.0,0.0,116040.0,0.0
535.0,116052.0,0.0,116067.0,0.0
536.0,116076.0,0.0,116103.0,0.0
537.0,116112.0,0.0,116121.0,0.0
538.0,116135.0,0.0,116140.0,0.0
539.0,116174.0,0.0,116165.0,0.0
540.0,116206.0,0.0,116194.0,0.0
541.0,116235.0,0.0,116235.0,0.0
542.0,116263.0,0.0,116269.0,0.0
543.0,116284.0,0.0,116303.0,0.0
544.0,116314.0,0.0,116334.0,0.0
545.0,116357.0,0.0,116364.0,0.0
546.0,116383.0,0.0,116400.0,0.0
547.0,116417.0,0.0,116437.0,0.0
548.0,116456.0,0.0,116469.0,0.0
549.0,116487.0,0.0,116505.0,0.0
550.0,116513.0,0.0,116544.0,0.0
551.0,116531.0,0.0,116591.0,0.0
552.0,116564.0,0.0,116622.0,0.0
553.0,116594.0,0.0,116648.0,0.0
554.0,116626.0,0.0,116685.0,0.0
555.0,116665.0,0.0,116719.0,0.0
556.0,116705.0,0.0,116754.0,0.0
557.0,116751.0,0.0,116781.0,0.0
558.0,116786.0,0.0,116807.0,0.0
559.0,116809.0,0.0,116838.0,0.0
560.0,116838.0,0.0,116887.0,0.0
561.0,116879.0,0.0,116911.0,0.0
562.0,116909.0,0.0,116935.0,0.0
563.0,116944.0,0.0,116974.0,0.0
564.0,116974.0,0.0,117007.0,0.0
565.0,117010.0,0.0,117038.0,0.0
566.0,117048.0,0.0,117067.0,0.0
567.0,117083.0,0.0,117108.0,0.0
568.0,117116.0,0.0,117139.0,0.0
569.0,117152.0,0.0,117171.0,0.0
570.0,117186.0,0.0,117200.0,0.0
571.0,117214.0,0.0,117235.0,0.0
572.0,117237.0,0.0,117265.0,0.0
573.0,117278.0,0.0,117298.0,0.0
574.0,117309.0,0.0,117335.0,0.0
575.0,117333.0,0.0,117365.0,0.0
576.0,117369.0,0.0,117387.0,0.0
577.0,117400.0,0.0,117409.0,0.0
578.0,117441.0,0.0,117453.0,0.0
579.0,117475.0,0.0,117479.0,0.0
580.0,117512.0,0.0,117506.0,0.0
581.0,117544.0,0.0,117534.0,0.0
582.0,117581.0,0.0,117571.0,0.0
583.0,117618.0,0.0,117603.0,0.0
584.0,117654.0,0.0,117638.0,0.0
585.0,117689.0,0.0,117679.0,0.0
586.0,117726.0,0.0,117712.0,0.0
587.0,117757.0,0.0,117737.0,0.0
588.0,117787.0,0.0,117772.0,0.0
589.0,117826.0,0.0,117806.0,0.0
590.0,117853.0,0.0,117842.0,0.0
591.0,117884.0,0.0,117876.0,0.0
592.0,117916.0,0.0,117904.0,0.0
593.0,117951.0,0.0,117934.0,0.0
594.0,117985.0,0.0,117966.0,0.0
595.0,118020.0,0.0,117998.0,0.0
596.0,118049.0,0.0,118040.0,0.0
597.0,118074.0,0.0,118075.0,0.0
598.0,118108.0,0.0,118106.0,0.0
599.0,118143.0,0.0,118140.0,0.0
600.0,118184.0,0.0,118184.0,0.0
601.0,118209.0,0.0,118230.0,0.0
602.0,118244.0,0.0,118258.0,0.0
603.0,118286.0,0.0,118289.0,0.0
604.0,118316.0,0.0,118329.0,0.0
605.0,118345.0,0.0,118371.0,0.0
606.0,118376.0,0.0,118402.0,0.0
607.0,118401.0,0.0,118431.0,0.0
608.0,118438.0,0.0,118464.0,0.0
609.0,118483.0,0.0,118495.0,0.0
610.0,118507.0,0.0,118534.0,0.0
611.0,118540.0,0.0,118562.0,0.0
612.0,118570.0,0.0,118595.0,0.0
613.0,118603.0,0.0,118632.0,0.0
614.0,118638.0,0.0,118672.0,0.0
615.0,118659.0,0.0,118702.0,0.0
616.0,118697.0,0.0,118731.0,0.0
617.0,118729.0,0.0,118763.0,0.0
618.0,118763.0,0.0,118799.0,0.0
619.0,118785.0,0.0,118829.0,0.0
620.0,118822.0,0.0,118859.0,0.0
621.0,118862.0,0.0,118890.0,0.0
622.0,118897.0,0.0,118919.0,0.0
623.0,118921.0,0.0,118948.0,0.0
624.0,118946.0,0.0,118975.0,0.0
625.0,118988.0,0.0,119000.0,0.0
