time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
8447.0,1044777.3504035238,0.0,1044777.3404859222,0.009917602215784969,2089554.7008070482,1.0047394769366874e-14
8448.0,1045067.6066466218,0.0,1045067.5967232028,0.00992341966302929,2090135.2132932444,1.004740935192121e-14
8449.0,1045357.9435276652,0.0,1045357.9335984255,0.009929240437057098,2090715.8870553311,1.004742389056325e-14
8450.0,1045648.3610690562,0.0,1045648.3511339923,0.009935064539750686,2091296.722138113,1.0047438502495053e-14
8451.0,1045938.8592932038,0.0,1045938.8493523124,0.00994089197299341,2091877.718586408,1.0047453187407363e-14
8452.0,1046229.4382225227,0.0,1046229.4282758007,0.009946722738669691,2092458.8764450462,1.0047467827659923e-14
8453.0,1046520.0978794345,0.0,1046520.0879268782,0.00995255683866501,2093040.1957588694,1.0047482423052123e-14
8454.0,1046810.8382863663,0.0,1046810.8283279728,0.009958394274865907,2093621.6765727336,1.0047497090642753e-14
8455.0,1047101.6594657522,0.0,1047101.6495015178,0.009964235049159989,2094203.318931505,1.0047511712900372e-14
8456.0,1047392.5614400317,0.0,1047392.5514699533,0.009970079163435924,2094785.1228800642,1.0047526289625008e-14
8457.0,1047683.5442316512,0.0,1047683.5342557253,0.00997592661958345,2095367.0884633034,1.004754093776811e-14
8458.0,1047974.6078630631,0.0,1047974.5978812863,0.00998177741949336,2095949.215726127,1.0047555539906935e-14
8459.0,1048265.7523567259,0.0,1048265.742369095,0.009987631565057518,2096531.5047134524,1.004757021292145e-14
8460.0,1048556.9777351046,0.0,1048556.9677416162,0.009993489058168856,2097113.95547021,1.0047584839461318e-14
8461.0,1048848.2840206702,0.0,1048848.274021321,0.00999934990072137,2097696.568041341,1.0047599536335071e-14
8462.0,1049139.6712359001,0.0,1049139.6612306866,0.010005214094610122,2098279.3424718007,1.0047614186264735e-14
8463.0,1049431.1394032778,0.0,1049431.129392197,0.010011081641731243,2098862.278806556,1.0047628905987448e-14
8464.0,1049722.6885452934,0.0,1049722.6785283415,0.010016952543981932,2099445.3770905873,1.0047643578297552e-14
8465.0,1050014.3186844427,0.0,1050014.3086616166,0.01002282680326046,2100028.6373688863,1.0047658202997014e-14
8466.0,1050306.0298432282,0.0,1050306.0198145246,0.010028704421466162,2100612.0596864573,1.0047672896715962e-14
8467.0,1050597.8220441586,0.0,1050597.8120095737,0.010034585400499446,2101195.6440883176,1.0047687542357096e-14
8468.0,1050889.6953097484,0.0,1050889.6852692792,0.010040469742261792,2101779.3906194973,1.0047702256479266e-14
8469.0,1051181.6496625189,0.0,1051181.639616162,0.01004635744865575,2102363.299325038,1.0047716922057366e-14
8470.0,1051473.6851249973,0.0,1051473.6750727496,0.010052248521584942,2102947.3702499955,1.0047731655579017e-14
8471.0,1051765.8017197177,0.0,1051765.7916615752,0.010058142962954061,2103531.6034394363,1.0047746340091256e-14
8472.0,1052057.9994692192,0.0,1052057.9894051792,0.010064040774668877,2104115.998938439,1.0047761092010532e-14
8473.0,1052350.2783960486,0.0,1052350.2683261074,0.010069941958636228,2104700.556792098,1.0047775794455974e-14
8474.0,1052642.6385227581,0.0,1052642.6284469122,0.010075846516764034,2105285.277045517,1.0047790447231503e-14
